,chopper frequency£¨HZ£©,Vout(V),,inset,time£¨s£©,Vout(V)
,,,,,0.03943,0.3776
,,,,,0.03951,0.3776
,,,,,0.03959,0.3776
,,,,,0.03967,0.3776
,,,,,0.03975,0.3776
,,,,,0.03983,0.3808
,,,,,0.03991,0.3808
,,,,,0.03999,0.3808
,,,,,0.04007,0.3808
,,,,,0.04015,0.3808
,,,,,0.04023,0.3808
,,,,,0.04031,0.3808
,,,,,0.04039,0.3808
,,,,,0.04047,0.3808
,,,,,0.04055,0.3808
,,,,,0.04063,0.3808
,,,,,0.04071,0.3808
,,,,,0.04079,0.3808
,,,,,0.04087,0.3808
,,,,,0.04095,0.3808
,,,,,0.04103,0.3808
,,,,,0.04111,0.3808
,,,,,0.04119,0.3808
,,,,,0.04127,0.3808
,,,,,0.04135,0.3808
,,,,,0.04143,0.384
,,,,,0.04151,0.384
,,,,,0.04159,0.384
,,,,,0.04167,0.384
,,,,,0.04175,0.384
,,,,,0.04183,0.384
,,,,,0.04191,0.384
,,,,,0.04199,0.384
,,,,,0.04207,0.384
,,,,,0.04215,0.384
,,,,,0.04223,0.384
,,,,,0.04231,0.384
,,,,,0.04239,0.384
,,,,,0.04247,0.384
,,,,,0.04255,0.384
,,,,,0.04263,0.384
,,,,,0.04271,0.384
,,,,,0.04279,0.384
,,,,,0.04287,0.384
,,,,,0.04295,0.384
,,,,,0.04303,0.384
,,,,,0.04311,0.384
,,,,,0.04319,0.384
,,,,,0.04327,0.384
,,,,,0.04335,0.384
,,,,,0.04343,0.384
,,,,,0.04351,0.384
,,,,,0.04359,0.384
,,,,,0.04367,0.384
,,,,,0.04375,0.384
,,,,,0.04383,0.384
,,,,,0.04391,0.384
,,,,,0.04399,0.384
,,,,,0.04407,0.384
,,,,,0.04415,0.384
,,,,,0.04423,0.384
,,,,,0.04431,0.3872
,,,,,0.04439,0.3872
,,,,,0.04447,0.3872
,,,,,0.04455,0.3872
,,,,,0.04463,0.384
,,,,,0.04471,0.3872
,,,,,0.04479,0.3872
,,,,,0.04487,0.3872
,,,,,0.04495,0.3872
,,,,,0.04503,0.3872
,,,,,0.04511,0.3872
,,,,,0.04519,0.3872
,,,,,0.04527,0.3872
,,,,,0.04535,0.3872
,,,,,0.04543,0.3872
,,,,,0.04551,0.3872
,,,,,0.04559,0.3872
,,,,,0.04567,0.3872
,,,,,0.04575,0.3872
,,,,,0.04583,0.3872
,,,,,0.04591,0.3872
,,,,,0.04599,0.3872
,,,,,0.04607,0.3872
,,,,,0.04615,0.3872
,,,,,0.04623,0.3872
,,,,,0.04631,0.3872
,,,,,0.04639,0.3872
,,,,,0.04647,0.3872
,,,,,0.04655,0.3872
,,,,,0.04663,0.3872
,,,,,0.04671,0.3872
,,,,,0.04679,0.3872
,,,,,0.04687,0.3872
,,,,,0.04695,0.3872
,,,,,0.04703,0.384
,,,,,0.04711,0.384
,,,,,0.04719,0.384
,,,,,0.04727,0.384
,,,,,0.04735,0.384
,,,,,0.04743,0.384
,,,,,0.04751,0.384
,,,,,0.04759,0.384
,,,,,0.04767,0.384
,,,,,0.04775,0.384
,,,,,0.04783,0.384
,,,,,0.04791,0.384
,,,,,0.04799,0.384
,,,,,0.04807,0.384
,,,,,0.04815,0.384
,,,,,0.04823,0.384
,,,,,0.04831,0.384
,,,,,0.04839,0.384
,,,,,0.04847,0.384
,,,,,0.04855,0.384
,,,,,0.04863,0.384
,,,,,0.04871,0.384
,,,,,0.04879,0.384
,,,,,0.04887,0.384
,,,,,0.04895,0.384
,,,,,0.04903,0.384
,,,,,0.04911,0.384
,,,,,0.04919,0.384
,,,,,0.04927,0.384
,,,,,0.04935,0.384
,,,,,0.04943,0.384
,,,,,0.04951,0.384
,,,,,0.04959,0.384
,,,,,0.04967,0.384
,,,,,0.04975,0.384
,,,,,0.04983,0.384
,,,,,0.04991,0.384
,,,,,0.04999,0.384
,,,,,0.05007,0.384
,,,,,0.05015,0.384
,,,,,0.05023,0.384
,,,,,0.05031,0.384
,,,,,0.05039,0.384
,,,,,0.05047,0.384
,,,,,0.05055,0.384
,,,,,0.05063,0.384
,,,,,0.05071,0.384
,,,,,0.05079,0.384
,,,,,0.05087,0.384
,,,,,0.05095,0.384
,,,,,0.05103,0.384
,,,,,0.05111,0.384
,,,,,0.05119,0.384
,,,,,0.05127,0.384
,,,,,0.05135,0.384
,,,,,0.05143,0.384
,,,,,0.05151,0.384
,,,,,0.05159,0.384
,,,,,0.05167,0.384
,,,,,0.05175,0.384
,,,,,0.05183,0.384
,,,,,0.05191,0.384
,,,,,0.05199,0.384
