eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,8.84869,0,8.84869,0,8.84869,0,8.84869,0,8.84869,0,8.8426,0,8.84869,0,8.84869,0,,2.15154,0.14001,2.57458,0.11477,3.10677,0.07825,3.64642,0.11993,4.1918,0.10758,4.19176,0.02288,4.1918,0.14743,4.1918,7.00E-05
,8.84621,0,8.84621,0,8.84621,0,8.84621,0,8.84621,0,8.84,0,8.84621,0,8.84621,0,,2.15243,0.14,2.57586,0.11547,3.10864,0.07757,3.64898,0.1201,4.1951,0.11061,4.19515,0.0234,4.1951,0.14796,4.1951,7.10E-04
,8.84373,0,8.84373,0,8.84373,0,8.84373,0,8.84373,0,8.83739,0,8.84373,0,8.84373,0,,2.15332,0.14018,2.57714,0.11612,3.1105,0.07864,3.65155,0.12024,4.1985,0.11435,4.19855,0.02392,4.1985,0.14895,4.1985,0.0015
,8.84125,0,8.84125,0,8.84125,0,8.84125,0,8.84125,0,8.83479,0,8.84125,0,8.84125,0,,2.15422,0.14048,2.57842,0.11661,3.11237,0.07918,3.65413,0.12033,4.2019,0.11878,4.20195,0.02444,4.2019,0.15038,4.2019,0.00253
,8.83878,0,8.83878,0,8.83878,0,8.83878,0,8.83878,0,8.83219,0,8.83878,0,8.83878,0,,2.15511,0.14079,2.5797,0.1169,3.11424,0.07879,3.6567,0.12036,4.2054,0.1239,4.20536,0.02496,4.2054,0.15225,4.2054,0.00379
,8.83631,0,8.83631,0,8.83631,0,8.83631,0,8.83631,0,8.82959,0,8.83631,0,8.83631,0,,2.15601,0.14108,2.58099,0.11705,3.11611,0.07836,3.65928,0.12041,4.2088,0.12965,4.20877,0.02548,4.2088,0.15455,4.2088,0.00519
,8.83383,0,8.83383,0,8.83383,0,8.83383,0,8.83383,0,8.82699,0,8.83383,0,8.83383,0,,2.15691,0.14141,2.58227,0.11718,3.11798,0.07699,3.66187,0.12052,4.2122,0.13596,4.21219,0.026,4.2122,0.15724,4.2122,0.00663
,8.83136,0,8.83136,0,8.83136,0,8.83136,0,8.83136,0,8.8244,0,8.83136,0,8.83136,0,,2.1578,0.14176,2.58356,0.11739,3.11986,0.07519,3.66446,0.12069,4.2156,0.1427,4.21561,0.02652,4.2156,0.16022,4.2156,0.00812
,8.82889,0,8.82889,0,8.82889,0,8.82889,0,8.82889,0,8.8218,0,8.82889,0,8.82889,0,,2.1587,0.14204,2.58485,0.11776,3.12174,0.07443,3.66705,0.12088,4.219,0.14964,4.21904,0.02704,4.219,0.16333,4.219,0.00955
,8.82643,0,8.82643,0,8.82643,0,8.82643,0,8.82643,0,8.81921,0,8.82643,0,8.82643,0,,2.1596,0.14221,2.58614,0.11826,3.12362,0.07539,3.66964,0.12105,4.2225,0.15644,4.22248,0.02756,4.2225,0.16633,4.2225,0.01065
,8.82396,0,8.82396,0,8.82396,0,8.82396,0,8.82396,0,8.81662,0,8.82396,0,8.82396,0,,2.1605,0.14233,2.58743,0.1188,3.1255,0.07728,3.67224,0.12114,4.2259,0.16263,4.22592,0.02808,4.2259,0.16888,4.2259,0.01118
,8.8215,0,8.8215,0,8.8215,0,8.8215,0,8.8215,0,8.81403,0,8.8215,0,8.8215,0,,2.1614,0.14251,2.58872,0.11931,3.12738,0.07779,3.67484,0.12116,4.2294,0.16762,4.22937,0.0286,4.2294,0.1706,4.2294,0.01107
,8.81903,0,8.81903,0,8.81903,0,8.81903,0,8.81903,0,8.81144,0,8.81903,0,8.81903,0,,2.1623,0.14279,2.59001,0.11973,3.12927,0.07654,3.67745,0.12112,4.2328,0.17087,4.23282,0.02912,4.2328,0.17114,4.2328,0.01036
